Sample,Ecosystem,Diversity,Biome,Soil_OM,GWC ,Root_biomass,pH,Soil_respiration,pH2,Phosphorus ,Potassium ,Magnesium ,Sand,Silt,Clay,Nitrogen ,Manganese ,Iron ,Phosphorus2,Carbon ,C:N
B1002A1,Australia,High,Dry,0.69,0.25,0.1,6.19,0.86,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002A2,Australia,High,Dry,0.69,0.25,0.1,6.19,0.86,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002A3,Australia,High,Dry,0.69,0.25,0.1,6.19,0.86,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002A4,Australia,High,Dry,0.69,0.25,0.1,6.19,0.86,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002B1,Australia,High,Dry,0.66,0.23,0.2,6.1,0.84,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002B2,Australia,High,Dry,0.66,0.23,0.2,6.1,0.84,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002B3,Australia,High,Dry,0.66,0.23,0.2,6.1,0.84,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1002B4,Australia,High,Dry,0.66,0.23,0.2,6.1,0.84,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567A1,Australia,High,Dry,0.64,0.1,0.24,5.86,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567A2,Australia,High,Dry,0.64,0.1,0.24,5.86,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567A3,Australia,High,Dry,0.64,0.1,0.24,5.86,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567A4,Australia,High,Dry,0.64,0.1,0.24,5.86,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567B1,Australia,High,Dry,0.77,0.22,0.45,5.82,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567B2,Australia,High,Dry,0.77,0.22,0.45,5.82,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567B3,Australia,High,Dry,0.77,0.22,0.45,5.82,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B100567B4,Australia,High,Dry,0.77,0.22,0.45,5.82,0.9,6.3,13.8,200,189,86,11,3,0.228,13.7,77,550,9.42,41.3
B1102A1,Citrus,Low,Dry,0.81,0.33,0.24,7.29,-0.01,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102A2,Citrus,Low,Dry,0.81,0.33,0.24,7.29,-0.01,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102A3,Citrus,Low,Dry,0.81,0.33,0.24,7.29,-0.01,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102A4,Citrus,Low,Dry,0.81,0.33,0.24,7.29,-0.01,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102B1,Citrus,Low,Dry,0.58,0.38,0.19,7.3,0.28,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102B2,Citrus,Low,Dry,0.58,0.38,0.19,7.3,0.28,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102B3,Citrus,Low,Dry,0.58,0.38,0.19,7.3,0.28,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1102B4,Citrus,Low,Dry,0.58,0.38,0.19,7.3,0.28,7.4,78.6,1069,407,73,17,10,0.642,6,66,3228,8.44,13.1
B1104A1,Vines,Low,Dry,0.4,0.03,0.01,6.3,-0.11,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104A2,Vines,Low,Dry,0.4,0.03,0.01,6.3,-0.11,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104A3,Vines,Low,Dry,0.4,0.03,0.01,6.3,-0.11,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104A4,Vines,Low,Dry,0.4,0.03,0.01,6.3,-0.11,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104B1,Vines,Low,Dry,0.27,0.03,0.08,6.46,0.05,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104B2,Vines,Low,Dry,0.27,0.03,0.08,6.46,0.05,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104B3,Vines,Low,Dry,0.27,0.03,0.08,6.46,0.05,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B1104B4,Vines,Low,Dry,0.27,0.03,0.08,6.46,0.05,6.7,56.4,970,342,70,18,12,0.39,20.6,45,814,5.09,13
B2012A1,Malaysia,High,Humid,0.62,0.35,0.04,6.77,0.01,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012A2,Malaysia,High,Humid,0.62,0.35,0.04,6.77,0.01,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012A3,Malaysia,High,Humid,0.62,0.35,0.04,6.77,0.01,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012A4,Malaysia,High,Humid,0.62,0.35,0.04,6.77,0.01,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012B1,Malaysia,High,Humid,0.44,0.27,0.04,6.51,0.3,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012B2,Malaysia,High,Humid,0.44,0.27,0.04,6.51,0.3,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012B3,Malaysia,High,Humid,0.44,0.27,0.04,6.51,0.3,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012B4,Malaysia,High,Humid,0.44,0.27,0.04,6.51,0.3,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012C1,Malaysia,High,Humid,0.41,0.51,0.07,6.42,0.15,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012C2,Malaysia,High,Humid,0.41,0.51,0.07,6.42,0.15,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012C3,Malaysia,High,Humid,0.41,0.51,0.07,6.42,0.15,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012C4,Malaysia,High,Humid,0.41,0.51,0.07,6.42,0.15,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012D1,Malaysia,High,Humid,0.5,0.25,0.16,6.3,1.35,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012D2,Malaysia,High,Humid,0.5,0.25,0.16,6.3,1.35,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012D3,Malaysia,High,Humid,0.5,0.25,0.16,6.3,1.35,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B2012D4,Malaysia,High,Humid,0.5,0.25,0.16,6.3,1.35,6.4,45.2,70.9,190,80,14,6,0.306,4.2,141,599,5.82,19
B309A1,West Africa,High,Humid,0.69,0.34,0.63,7.26,-0.04,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309A2,West Africa,High,Humid,0.69,0.34,0.63,7.26,-0.04,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309A3,West Africa,High,Humid,0.69,0.34,0.63,7.26,-0.04,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309A4,West Africa,High,Humid,0.69,0.34,0.63,7.26,-0.04,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309B1,West Africa,High,Humid,0.68,0.26,0.05,7.27,0.63,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309B2,West Africa,High,Humid,0.68,0.26,0.05,7.27,0.63,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309B3,West Africa,High,Humid,0.68,0.26,0.05,7.27,0.63,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309B4,West Africa,High,Humid,0.68,0.26,0.05,7.27,0.63,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309C1,West Africa,High,Humid,0.6,0.18,0.02,6.98,0.43,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309C2,West Africa,High,Humid,0.6,0.18,0.02,6.98,0.43,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309C3,West Africa,High,Humid,0.6,0.18,0.02,6.98,0.43,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309C4,West Africa,High,Humid,0.6,0.18,0.02,6.98,0.43,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309D1,West Africa,High,Humid,0.61,0.28,0.42,7.41,0.41,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309D2,West Africa,High,Humid,0.61,0.28,0.42,7.41,0.41,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309D3,West Africa,High,Humid,0.61,0.28,0.42,7.41,0.41,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B309D4,West Africa,High,Humid,0.61,0.28,0.42,7.41,0.41,7.5,55.2,158,182,71,18,11,0.266,2.4,79.2,798,4,15
B4093A1,Amazon,High,Humid,0.57,0.25,0.31,7.05,0.08,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093A2,Amazon,High,Humid,0.57,0.25,0.31,7.05,0.08,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093A3,Amazon,High,Humid,0.57,0.25,0.31,7.05,0.08,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093A4,Amazon,High,Humid,0.57,0.25,0.31,7.05,0.08,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093B1,Amazon,High,Humid,0.45,0.2,0.08,6.59,0.43,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093B2,Amazon,High,Humid,0.45,0.2,0.08,6.59,0.43,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093B3,Amazon,High,Humid,0.45,0.2,0.08,6.59,0.43,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093B4,Amazon,High,Humid,0.45,0.2,0.08,6.59,0.43,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093C1,Amazon,High,Humid,0.52,0.26,0.08,7.09,0.33,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093C2,Amazon,High,Humid,0.52,0.26,0.08,7.09,0.33,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093C3,Amazon,High,Humid,0.52,0.26,0.08,7.09,0.33,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093C4,Amazon,High,Humid,0.52,0.26,0.08,7.09,0.33,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093D1,Amazon,High,Humid,0.58,0.31,0.02,6.87,0.32,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093D2,Amazon,High,Humid,0.58,0.31,0.02,6.87,0.32,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093D3,Amazon,High,Humid,0.58,0.31,0.02,6.87,0.32,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B4093D4,Amazon,High,Humid,0.58,0.31,0.02,6.87,0.32,7.1,44.6,62.8,173,76,17,7,0.203,2.3,129,523,3.53,17.4
B504A1,Cocoa,Low,Humid,0.72,0.4,0.03,6.91,0.63,7.6,76,363,217,62,22,16,0.614,2.8,78,1789,7.69,12.5
B504A2,Cocoa,Low,Humid,0.72,0.4,0.03,6.91,0.63,7.6,76,363,217,62,22,16,0.614,2.8,78,1789,7.69,12.5
B504A3,Cocoa,Low,Humid,0.72,0.4,0.03,6.91,0.63,7.6,76,363,217,62,22,16,0.614,2.8,78,1789,7.69,12.5
B504A4,Cocoa,Low,Humid,0.72,0.4,0.03,6.91,0.63,7.6,76,363,217,62,22,16,0.614,2.8,78,1789,7.69,12.5
B504B1,Cocoa,Low,Humid,0.98,0.51,-0.02,6.93,0.25,7.6,76,363,217,62,22,16,0.614,2.8,78,1789,7.69,12.5
B504B2,Cocoa,Low,Humid,0.98,0.51,-0.02,6.93,0.25,7.6,76,363,217,62,22,16,0.614,2.8,78,1789,7.69,12.5
B504B3,Cocoa,Low,Humid,0.98,0.51,-0.02,6.93,0.25,7.6,76,363,217,62,22,16,0.614,2.8,78,1789,7.69,12.5
B504B4,Cocoa,Low,Humid,0.98,0.51,-0.02,6.93,0.25,7.6,76,363,217,62,22,16,0.614,2.8,78,1789,7.69,12.5
B516A1,Bamboo,Low,Humid,0.48,0.19,0.7,6.72,0.73,7.2,13.2,66.1,262,73,19,8,0.271,4.1,113,478,5.83,21.5
B516A2,Bamboo,Low,Humid,0.48,0.19,0.7,6.72,0.73,7.2,13.2,66.1,262,73,19,8,0.271,4.1,113,478,5.83,21.5
B516A3,Bamboo,Low,Humid,0.48,0.19,0.7,6.72,0.73,7.2,13.2,66.1,262,73,19,8,0.271,4.1,113,478,5.83,21.5
B516A4,Bamboo,Low,Humid,0.48,0.19,0.7,6.72,0.73,7.2,13.2,66.1,262,73,19,8,0.271,4.1,113,478,5.83,21.5
B516B1,Bamboo,Low,Humid,0.63,0.36,0.42,7.07,0.26,7.2,13.2,66.1,262,73,19,8,0.271,4.1,113,478,5.83,21.5
B516B2,Bamboo,Low,Humid,0.63,0.36,0.42,7.07,0.26,7.2,13.2,66.1,262,73,19,8,0.271,4.1,113,478,5.83,21.5
B516B3,Bamboo,Low,Humid,0.63,0.36,0.42,7.07,0.26,7.2,13.2,66.1,262,73,19,8,0.271,4.1,113,478,5.83,21.5
B516B4,Bamboo,Low,Humid,0.63,0.36,0.42,7.07,0.26,7.2,13.2,66.1,262,73,19,8,0.271,4.1,113,478,5.83,21.5
B802A1,Med,High,Dry,0.33,0.15,0.51,6.5,-0.21,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802A2,Med,High,Dry,0.33,0.15,0.51,6.5,-0.21,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802A3,Med,High,Dry,0.33,0.15,0.51,6.5,-0.21,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802A4,Med,High,Dry,0.33,0.15,0.51,6.5,-0.21,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802B1,Med,High,Dry,0.36,0.18,0.47,7.49,0.16,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802B2,Med,High,Dry,0.36,0.18,0.47,7.49,0.16,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802B3,Med,High,Dry,0.36,0.18,0.47,7.49,0.16,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802B4,Med,High,Dry,0.36,0.18,0.47,7.49,0.16,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802C1,Med,High,Dry,0.38,0.12,0.94,6.7,0.39,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802C2,Med,High,Dry,0.38,0.12,0.94,6.7,0.39,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802C3,Med,High,Dry,0.38,0.12,0.94,6.7,0.39,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802C4,Med,High,Dry,0.38,0.12,0.94,6.7,0.39,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802D1,Med,High,Dry,0.19,0.12,0.78,6.8,0.23,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802D2,Med,High,Dry,0.19,0.12,0.78,6.8,0.23,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802D3,Med,High,Dry,0.19,0.12,0.78,6.8,0.23,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B802D4,Med,High,Dry,0.19,0.12,0.78,6.8,0.23,6.9,11.2,183,219,78,16,6,0.163,5.5,87.9,280,3.43,21.1
B904A1,South Africa,High,Dry,0.22,0.04,0.08,6.12,1.01,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B904A2,South Africa,High,Dry,0.22,0.04,0.08,6.12,1.01,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B904A3,South Africa,High,Dry,0.22,0.04,0.08,6.12,1.01,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B904A4,South Africa,High,Dry,0.22,0.04,0.08,6.12,1.01,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B904B1,South Africa,High,Dry,0.55,0.08,0.28,7.36,0.08,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B904B2,South Africa,High,Dry,0.55,0.08,0.28,7.36,0.08,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B904B3,South Africa,High,Dry,0.55,0.08,0.28,7.36,0.08,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B904B4,South Africa,High,Dry,0.55,0.08,0.28,7.36,0.08,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B907A1,South Africa,High,Dry,0.34,0.05,0.99,6.88,0.12,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B907A2,South Africa,High,Dry,0.34,0.05,0.99,6.88,0.12,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B907A3,South Africa,High,Dry,0.34,0.05,0.99,6.88,0.12,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B907A4,South Africa,High,Dry,0.34,0.05,0.99,6.88,0.12,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B907B1,South Africa,High,Dry,0.22,0.04,0.34,5.91,0.71,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B907B2,South Africa,High,Dry,0.22,0.04,0.34,5.91,0.71,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B907B3,South Africa,High,Dry,0.22,0.04,0.34,5.91,0.71,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9
B907B4,South Africa,High,Dry,0.22,0.04,0.34,5.91,0.71,7.2,22.8,101,216,82,14,4,0.129,5.7,46,265,2.31,17.9